,CO2
2015-01-01,14.776434157864012
2016-01-01,14.561250084721681
2017-01-01,14.5050331304138
2018-01-01,14.46261978066411
2019-01-01,14.500283220660757
2020-01-01,14.58632028635446
2021-01-01,14.728105877073107
2022-01-01,14.91188268106834
2023-01-01,15.129994869844088
2024-01-01,15.369600450702116
